Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Trevon Wesco,TEN,TE,28,15,10,3,1,0,0,0,0,0,0,21,0,2,0,0,0
Mike White,MIA,QB,28,6,0,0,0,74,1,6,-9,0,8,0,0,2,1,1,1
Alex Armah,WAS,RB,29,8,0,3,3,0,0,0,0,0,0,13,0,1,0,0,0
Sean Clifford,GNB,QB,25,2,0,0,0,37,0,1,-2,0,3,0,0,1,0,1,0
Jashaun Corbin,NYG,RB,23,6,0,3,3,0,0,0,1,0,1,12,0,1,0,0,0
Kenyan Drake,2TM,RB,29,3,0,3,2,0,0,0,0,0,2,31,0,1,0,1,1
Ross Dwelley,SFO,TE,28,12,0,2,1,0,0,0,0,0,0,12,0,1,0,0,0
D'Wayne Eskridge,SEA,WR,26,4,0,1,0,0,0,0,5,0,2,0,0,1,0,0,0
Chris Evans,CIN,RB,26,8,0,1,1,0,0,0,12,0,2,-1,0,1,0,0,0
Tucker Fisk,ATL,TE,24,6,2,1,1,0,0,0,0,0,0,9,0,1,0,0,0
John FitzPatrick,ATL,TE,23,9,0,1,1,0,0,0,0,0,0,12,0,1,0,0,0
Cole Fotheringham,LVR,TE,26,2,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0
Evan Hull,IND,RB,23,1,0,1,1,0,0,0,1,0,1,6,0,1,0,0,0
Collin Johnson,CHI,WR,26,3,0,1,1,0,0,0,0,0,0,11,0,1,0,0,0
Jakob Johnson,LVR,FB,29,13,5,2,1,0,0,0,0,0,0,12,0,1,0,0,0
Mason Kinsey,TEN,WR,25,6,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0
A.J. McCarron,CIN,QB,33,2,0,0,0,19,0,5,0,0,0,0,0,1,0,0,0
Anthony McFarland Jr.,PIT,RB,24,3,0,2,2,0,0,0,0,0,0,11,0,1,0,0,0
Kene Nwangwu,MIN,RB,25,9,0,0,0,0,0,0,13,0,5,0,0,1,0,0,0
Devine Ozigbo,DET,RB,27,3,0,1,1,0,0,0,5,0,3,8,0,1,0,0,0
Kevin Rader,TEN,TE,28,14,0,3,1,0,0,0,0,0,0,6,0,1,0,0,0
Eric Saubert,2TM,TE,29,10,1,3,3,0,0,0,0,0,0,12,0,1,0,0,0
Willie Snead,SFO,WR,31,4,0,3,2,0,0,0,0,0,0,14,0,1,0,0,0
Malik Taylor,NYJ,WR,28,3,0,4,2,0,0,0,0,0,0,13,0,1,0,0,0
Cody Thompson,SEA,WR,27,7,0,1,1,0,0,0,0,0,0,10,0,1,0,0,0
Austin Trammell,LAR,WR,25,16,0,7,4,0,0,0,0,0,0,29,0,1,0,3,1
Jonathan Ward,TEN,RB,26,7,0,0,0,0,0,0,11,0,3,0,0,1,0,0,0
Devon Allen,PHI,WR,29,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Stephen Anderson,LAC,TE,30,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Andre Baccellia,ARI,WR,26,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Michael Bandy,DEN,WR,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Matt Barkley,JAX,QB,33,1,0,0,0,0,0,0,-3,0,3,0,0,,0,0,0
Nick Bellore,SEA,FB,34,16,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chris Blair,ATL,WR,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Teddy Bridgewater,DET,QB,31,1,0,0,0,0,0,0,-2,0,2,0,0,,0,0,0
Matt Bushman,KAN,TE,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
